id_cidade;agua_min_pot_emp;calcario_emp;agua_term_emp;granito_brita_emp;min_manganes_emp;miner_ouro_ouro_emp;gema_diamante_emp;argila_emp;areia_emp;agua_min_pot;calcario;agua_term;granito_brita;min_manganes;miner_ouro_ouro;gema_diamante;argila;areia
5100102;;;;;;;;;1;;;;;;;;;114399
5100201;;;;;;;;;;;;;;;;;;
5100250;;;;1;;2;;1;2;;;;1011373,06;;51954628,37;;6080;1092517,43
5100300;;;;;;;;;;;;;;;;;;
5100359;;;;;;;;;;;;;;;;;;
5100409;;;;;;;;;;;;;;;;;;
5100508;;;;;;;;;1;;;;;;;;;45606
5100607;;;;;;;;;;;;;;;;;;
5100805;;;;;;2;;;;;;;;;19507979,44;;;
5101001;;;;;;;;;;;;;;;;;;
5101209;;;;;;;;;;;;;;;;;;
5101258;;;;;;;;;;;;;;;;;;
5101308;;;;;;;;;;;;;;;;;;
5101407;;;;;;;;;1;;;;;;;;;80751,12
5101605;;;;;;;;;;;;;;;;;;
5101704;;1;;;;;;2;2;;9381975,32;;;;;;263681,01;406848,6
5101803;;;;;;;;1;1;;;;;;;;34065,35;286438,75
5101852;;;;;;;;;;;;;;;;;;
5101902;;;;;;;;2;2;;;;;;;;2197192,33;256238,12
5102504;;2;;;;;;2;1;;17549551,62;;;;;;82685;127914,42
5102603;;;;;;;;;;;;;;;;;;
5102637;;;;;;;;;1;;;;;;;;;136794,72
5102678;1;;;;;;;;;1581339,5;;;;;;;;
5102686;;;;;;;;;1;;;;;;;;;18507,2
5102694;;;;;;;;;;;;;;;;;;
5102702;;;;;;;;;1;;;;;;;;;12300
5102793;;;;;;2;;;;;;;;;19679863,94;;;
5102850;;;;;;;;;;;;;;;;;;
5103007;3;;;;;;;;;2623507,33;;;;;;;;
5103056;;;;;;;;;;;;;;;;;;
5103106;;2;;;;;;;;;27453607,46;;;;;;;
5103205;;;;1;;3;;1;;;;;832347,9;;1109079,65;;371111,9;
5103254;;;;;;;;;1;;;;;;;;;61429,14
5103304;;;;;;;;;2;;;;;;;;;965493,7
5103353;;;;1;;;;;1;;;;3215255,97;;;;;46356
5103361;;;;;;;;;;;;;;;;;;
5103379;;;;;;;;;;;;;;;;;;
5103403;1;2;;;;4;;1;1;1836711,45;17906841,46;;;;32848242,41;;707791,6;1589,4
5103437;;;;;;;;;;;;;;;;;;
5103452;;;;;;;;;1;;;;;;;;;343785,75
5103502;;;;;;;;1;1;;;;;;;;2836275,38;687038,29
5103601;2;;;;;;;1;;31878307,73;;;;;;;43139;
5103700;;;;;;;;;;;;;;;;;;
5103809;;;;;;;;;;;;;;;;;;
5103858;;;;;;;;;;;;;;;;;;
5103908;;;;;;;;;;;;;;;;;;
5103957;;1;;;;;;1;2;;2923502,12;;;;;;82644,49;125747,52
5104104;;;;;;6;;;1;;;;;;3285511,92;;;67159,46
5104203;;;;;1;;;;1;;;;;3392100;;;;19410
5104500;;;;;;;;;;;;;;;;;;
5104526;;;;;;;;;1;;;;;;;;;424505,22
5104542;;;;;;;;;;;;;;;;;;
5104559;;;;;;1;;;;;;;;;25000;;;
5104609;;;;;;;;;;;;;;;;;;
