,id_cidade,total,atv,ano,qtd_emp
0,5100102,114399,11,2017,1
1,5100250,1011373,6,2017,1
2,5100250,51954628,8,2017,2
3,5100250,6080,10,2017,1
4,5100250,1092517,11,2017,2
5,5100508,45606,11,2017,1
6,5100805,19507979,8,2017,2
7,5101407,80751,11,2017,1
8,5101704,9381975,2,2017,1
9,5101704,263681,10,2017,2
10,5101704,406848,11,2017,2
11,5101803,34065,10,2017,1
12,5101803,286438,11,2017,1
13,5101902,2197192,10,2017,2
14,5101902,256238,11,2017,2
15,5102504,17549551,2,2017,2
16,5102504,82685,10,2017,2
17,5102504,127914,11,2017,1
18,5102637,136794,11,2017,1
19,5102678,1581339,1,2017,1
20,5102686,18507,11,2017,1
21,5102702,12300,11,2017,1
22,5102793,19679863,8,2017,2
23,5103007,2623507,1,2017,3
24,5103106,27453607,2,2017,2
25,5103205,832347,6,2017,1
26,5103205,1109079,8,2017,3
27,5103205,371111,10,2017,1
28,5103254,61429,11,2017,1
29,5103304,965493,11,2017,2
30,5103353,3215255,6,2017,1
31,5103353,46356,11,2017,1
32,5103403,1836711,1,2017,1
33,5103403,17906841,2,2017,2
34,5103403,32848242,8,2017,4
35,5103403,707791,10,2017,1
36,5103403,1589,11,2017,1
37,5103452,343785,11,2017,1
38,5103502,2836275,10,2017,1
39,5103502,687038,11,2017,1
40,5103601,31878307,1,2017,2
41,5103601,43139,10,2017,1
42,5103957,2923502,2,2017,1
43,5103957,82644,10,2017,1
44,5103957,125747,11,2017,2
45,5104104,3285511,8,2017,6
46,5104104,67159,11,2017,1
47,5104203,3392100,7,2017,1
48,5104203,19410,11,2017,1
49,5104526,424505,11,2017,1
50,5104559,25000,8,2017,1
51,5104807,8247537,1,2017,2
52,5104807,47718,11,2017,1
53,5104906,1755068,1,2017,1
54,5105101,41956,6,2017,1
55,5105101,64958,10,2017,1
56,5105101,321311,11,2017,2
57,5105150,1794584,9,2017,2
58,5105150,35400,10,2017,1
59,5105200,49121,11,2017,2
60,5105234,92844,11,2017,1
61,5105580,153998,11,2017,1
62,5105606,3033526,6,2017,1
63,5105606,79730969,8,2017,7
64,5105903,161626771,2,2017,10
65,5105903,1298538,10,2017,2
66,5105903,363655,11,2017,1
67,5106109,793355,1,2017,1
68,5106109,95291294,8,2017,11
69,5106109,627058,11,2017,1
70,5106158,1260156,8,2017,2
71,5106158,15035,10,2017,1
72,5106216,2942859,8,2017,3
73,5108808,19279424,8,2017,6
74,5106182,9736484,8,2017,2
75,5106182,41045,11,2017,2
76,5108956,30250,10,2017,1
77,5106190,1823504,8,2017,5
78,5106257,20098649,2,2017,2
79,5106265,47319537,8,2017,8
80,5106299,51733045,8,2017,4
81,5106299,1783093,11,2017,1
82,5106307,15101765,2,2017,2
83,5106372,162893,11,2017,1
84,5106422,356722352,8,2017,7
85,5106455,864910,2,2017,1
86,5106505,273263770,8,2017,10
87,5106752,109296808,8,2017,2
88,5106752,28055,10,2017,1
89,5106752,298083,11,2017,2
90,5106802,29077,11,2017,1
91,5106828,26081546,8,2017,1
92,5107008,1508929,2,2017,1
93,5107008,436000,9,2017,1
94,5107008,101366,10,2017,1
95,5107008,69401,11,2017,2
96,5107040,8087363,2,2017,2
97,5107065,47654,11,2017,1
98,5107180,51333,11,2017,2
99,5107602,510945,1,2017,1
100,5107602,331893,10,2017,1
101,5107602,1520160,11,2017,8
102,5107701,35111628,2,2017,6
103,5107701,93969,8,2017,1
104,5107701,97724,10,2017,1
105,5107701,6579,11,2017,1
106,5107800,2737569,1,2017,2
107,5107800,12686623,6,2017,3
108,5107800,289614,10,2017,1
109,5107800,1326954,11,2017,7
110,5107859,3620,11,2017,1
111,5107404,47718,11,2017,1
112,5107875,336409,11,2017,3
113,5107909,3720479,11,2017,5
114,5107925,75991,10,2017,1
115,5107925,5303524,11,2017,6
116,5107958,173860,1,2017,1
117,5107958,23906979,2,2017,1
118,5107958,426483,11,2017,2
119,5108055,7566784,6,2017,1
120,5108055,39976628,8,2017,7
121,5108402,7317715,8,2017,4
122,5108402,232511,10,2017,2
123,5108402,62254,11,2017,2
124,5105507,85643072,8,2017,3
125,5105507,27905,11,2017,1
126,5108600,923028,6,2017,1
