pop_ocup;IDHM;IDHM_RENDA;IDHM_LONGEVIDADE;IDHM_EDUCAÇÃO;esp_nasc_vi;Prob_60ano;Expec_estudo_18;renda_pc;"Sa_mensal_trab_formais
";Prop_ext_pobres;Prop_pobres;Propo_vuln_pobreza;Taxa_analf_pop_15_mais_2010;IDEB_iniciais;IDEB _finais;Perc_pop_vive_domicílios_agua_encanada;Perc_pop_vive_dom_urbanos_coleta_lixo;Perc_pop_vive_dom_ener_elétrica;Esgotam_sanit_adeq;pes_dom_abastec_agua_esgotam_sanit_inadequados;Urbaniz_vias_pub
8,2;0.628;0.594;0.816;0.510;73,98;81,81;6,99;321,58;2,7;14,91;28,54;58,87;23,6;5,1;4,2;321,58;96,76;99,24;8;14,67;0
21,8;0.729;0.723;0.829;0.646;74,71;82,86;10,01;720,74;2,4;1,45;7,38;20,78;7,8;6,1;4,9;720,74;99,84;98,14;14,2;0,45;1,5
25,3;0.714;0.709;0.817;0.629;73,99;81,82;9,81;660,84;2,1;1,86;5,77;25,20;8,9;5,9;4,7;660,84;96,82;99,61;17;2,77;3
17,9;0.704;0.712;0.802;0.612;73,13;80,55;9,10;671,99;2,6;3,66;9,48;22,84;8,6;6,2;4,6;671,99;98,35;96,60;22,6;1,25;5,7
8,1;0.651;0.613;0.803;0.561;73,20;80,66;8,17;362,66;2,6;25,18;35,68;52,80;11,5;5;4,9;362,66;96,38;79,82;24,4;17,50;0,1
13,7;0.701;0.707;0.835;0.583;75,08;83,39;8,92;651,91;2,5;2,15;7,70;24,34;9,3;5,6;4,1;651,91;98,32;99,57;3,5;2,90;6,9
4,9;0.638;0.612;0.784;0.541;72,01;78,85;8,96;360,06;2;12,45;24,55;47,59;14,6;4,8;3,5;360,06;87,74;90,31;22,6;17,33;5,7
28,7;0.705;0.736;0.833;0.571;74,95;83,20;9,03;781,26;3,2;1,15;4,30;16,83;6,6;5,8;4,4;781,26;100,00;99,98;1,6;2,49;0
10,9;0.675;0.666;0.809;0.570;73,54;81,16;8,98;504,04;2;6,82;12,73;31,29;13,4;5,7;4,6;504,04;94,63;98,28;5,7;7,33;0
11,5;0.687;0.671;0.817;0.591;74,01;81,84;9,99;519,03;2;3,77;9,57;32,83;12,4;5,1;4;519,03;92,80;97,79;3,1;1,98;0
23,6;0.701;0.650;0.844;0.627;75,61;84,14;10,83;456,43;1,9;1,32;9,69;31,87;14,6;;;456,43;97,50;97,13;5,5;2,44;0
21,6;0.725;0.704;0.826;0.655;74,56;82,64;9,47;639,18;2,3;3,56;9,03;29,03;11,1;5,6;4,9;639,18;99,54;97,83;11,5;3,66;22,4
12,6;0.704;0.677;0.793;0.649;72,56;79,69;9,95;540,59;2,1;2,51;11,20;31,72;12,1;5,7;4,6;540,59;92,03;99,29;17,5;7,34;2,7
